EmployeeID,Name,Department,Role,Privilege,InheritedRole,Manager,Salary,JoiningDate
User66,Employee66,Finance,Analyst,view_salary,,User653,138206,2008-12-01
User67,Employee67,Finance,Auditor,access_database,,User1886,46166,2002-09-20
User68,Employee68,Sales,Executive,manage_hiring,,User3313,66813,2015-11-18
User69,Employee69,Marketing,Officer,access_database,,User3059,137747,2021-03-16
User70,Employee70,Finance,Director,access_database,Clerk,User4907,143617,2000-03-24
User71,Employee71,Sales,Officer,approve_expense,,User1205,122696,2015-12-21
User72,Employee72,Operations,Auditor,manage_hiring,,,90205,2019-03-01
User73,Employee73,Sales,Auditor,view_salary,,User3609,75225,2000-04-26
User74,Employee74,Finance,Officer,access_database,Manager,User1731,128181,2013-03-22
User75,Employee75,Marketing,Officer,approve_expense,,User3161,100848,2013-12-19
User76,Employee76,Legal,Manager,manage_hiring,,,69623,2010-06-20
User77,Employee77,Legal,Executive,manage_hiring,,,30702,2003-10-11
User78,Employee78,Finance,Executive,view_salary,,User4943,90101,2010-07-30
User79,Employee79,Marketing,Assistant,approve_expense,Director,User833,142013,2020-09-04
User80,Employee80,Finance,Auditor,view_salary,,User1091,114746,2007-05-20
User81,Employee81,Operations,Clerk,manage_hiring,,,128152,2006-03-28
User82,Employee82,Legal,Assistant,view_salary,,User4247,127180,2016-05-30
User83,Employee83,IT,Director,authorize_contracts,Clerk,User2460,131419,2013-07-09
User84,Employee84,Legal,Analyst,view_salary,,User3248,120937,2001-02-20
User85,Employee85,Operations,Assistant,approve_expense,,User494,59122,2007-04-06
User86,Employee86,IT,Manager,approve_expense,,,73574,2019-11-08
User87,Employee87,Finance,Clerk,manage_hiring,,,143991,2015-07-01
User88,Employee88,Sales,Analyst,authorize_contracts,,User1605,55092,2017-04-28
User89,Employee89,Legal,Executive,approve_expense,,,54727,2012-01-06
User90,Employee90,Marketing,Assistant,view_salary,,User2214,47925,2012-06-19
User91,Employee91,Admin,Analyst,authorize_contracts,,User966,117196,2008-11-02
User92,Employee92,IT,Auditor,approve_expense,,User1263,55135,2003-07-26
User93,Employee93,IT,Analyst,view_salary,Auditor,,115994,2006-07-22
User94,Employee94,Legal,Officer,authorize_contracts,,User4844,36051,2011-04-30
User95,Employee95,Sales,Clerk,access_database,Executive,User3262,36926,2013-04-18
User96,Employee96,Legal,Executive,view_salary,,User1130,145825,2006-01-30
User97,Employee97,HR,Executive,approve_expense,,,98672,2003-07-25
User98,Employee98,IT,Analyst,access_database,,User3583,86380,2009-06-15
User99,Employee99,HR,Director,approve_expense,Executive,User3159,77364,2013-12-01
User100,Employee100,Legal,Auditor,approve_expense,,,136205,2015-07-17
User101,Employee101,HR,Assistant,view_salary,,,135607,2001-12-04
User102,Employee102,Admin,Assistant,approve_expense,,User965,135873,2002-06-18
User103,Employee103,Marketing,Executive,approve_expense,,,90010,2012-04-30
User104,Employee104,Finance,Officer,approve_expense,,,142213,2018-03-05
User105,Employee105,Sales,Clerk,manage_hiring,,User2020,92718,2003-04-26
User106,Employee106,Finance,Assistant,approve_expense,,User3762,116439,2005-11-02
User107,Employee107,Admin,Officer,manage_hiring,Director,User618,144570,2013-01-31
User108,Employee108,Finance,Auditor,authorize_contracts,Analyst,User4334,115479,2018-11-18
User109,Employee109,Admin,Director,access_database,,User1102,56418,2008-08-08
User110,Employee110,Operations,Assistant,view_salary,,,34026,2014-03-10
User111,Employee111,Admin,Director,approve_expense,,User1825,48305,2001-11-23
User112,Employee112,Sales,Assistant,view_salary,Officer,,69718,2018-12-05
User113,Employee113,Finance,Director,access_database,,User2598,48643,2001-04-11
User114,Employee114,HR,Officer,authorize_contracts,Assistant,User2820,79340,2014-01-14
User115,Employee115,Legal,Officer,access_database,,,113272,2013-05-06
User116,Employee116,IT,Clerk,authorize_contracts,,User4373,135940,2020-12-16
User117,Employee117,HR,Officer,access_database,,User362,101124,2019-05-13
User118,Employee118,Sales,Auditor,view_salary,,User2345,73674,2005-05-24
User119,Employee119,Finance,Director,manage_hiring,Executive,,121411,2021-08-17
User120,Employee120,Legal,Manager,view_salary,,User2252,32025,2020-11-10
User121,Employee121,Operations,Officer,manage_hiring,,User3577,134863,2001-08-25
User122,Employee122,Finance,Clerk,view_salary,,User209,63971,2014-09-16
User123,Employee123,Marketing,Officer,authorize_contracts,Assistant,,146410,2005-08-04
User124,Employee124,Finance,Executive,view_salary,Executive,User4107,133333,2018-06-07
User125,Employee125,Legal,Manager,approve_expense,,User3031,73437,2003-02-07
User126,Employee126,Admin,Analyst,authorize_contracts,Clerk,User4504,131955,2009-12-12
User127,Employee127,HR,Clerk,approve_expense,,User124,72043,2000-07-18
User128,Employee128,Sales,Clerk,view_salary,Executive,User4737,119270,2014-03-11
User129,Employee129,Marketing,Executive,approve_expense,,User1251,104909,2001-05-03
User130,Employee130,IT,Auditor,authorize_contracts,,User4894,89868,2019-03-02
User131,Employee131,HR,Manager,approve_expense,,User4223,47562,2010-11-04
User132,Employee132,IT,Director,manage_hiring,,User3220,99069,2004-02-17
User133,Employee133,Legal,Officer,manage_hiring,,User3372,32269,2000-01-08
User134,Employee134,Marketing,Auditor,access_database,,,104893,2000-04-09
User135,Employee135,Finance,Manager,view_salary,,User3495,45223,2004-07-26
User136,Employee136,Legal,Analyst,access_database,,User4727,117134,2009-03-17
User137,Employee137,HR,Analyst,access_database,,User815,55842,2010-09-29
User138,Employee138,IT,Clerk,manage_hiring,,User1608,131341,2001-05-08
User139,Employee139,Admin,Director,manage_hiring,,User2947,84749,2013-02-02
User140,Employee140,Marketing,Clerk,authorize_contracts,Auditor,User3371,146170,2013-09-01
User141,Employee141,IT,Manager,approve_expense,,,74267,2020-11-17
User142,Employee142,Sales,Executive,view_salary,,User4215,101918,2008-10-19
User143,Employee143,Marketing,Analyst,manage_hiring,,User1370,143379,2003-03-20
User144,Employee144,HR,Analyst,approve_expense,,,94840,2002-09-19
User145,Employee145,IT,Clerk,approve_expense,Analyst,User1962,118477,2004-09-28
User146,Employee146,IT,Auditor,approve_expense,,,38106,2006-09-02
User147,Employee147,Finance,Clerk,access_database,,User2040,95427,2000-02-14
User148,Employee148,Operations,Assistant,view_salary,,User363,113843,2016-06-26
User149,Employee149,Legal,Executive,authorize_contracts,,,68292,2010-06-05
User150,Employee150,HR,Assistant,manage_hiring,,User810,138870,2006-01-14
User151,Employee151,Marketing,Analyst,authorize_contracts,,,95119,2002-08-08
User152,Employee152,Finance,Assistant,access_database,Manager,User4588,52213,2012-08-10
User153,Employee153,Admin,Executive,authorize_contracts,,User3384,130652,2002-08-10
User154,Employee154,Marketing,Executive,authorize_contracts,,User4774,144802,2015-09-07
User155,Employee155,Sales,Executive,view_salary,,User335,59446,2016-09-19
User156,Employee156,HR,Director,view_salary,Analyst,User225,45939,2002-10-04
User157,Employee157,Sales,Analyst,approve_expense,,User4812,102932,2007-04-06
User158,Employee158,Marketing,Director,approve_expense,,,119377,2021-08-21
User159,Employee159,IT,Executive,access_database,,User197,61448,2012-07-19
User160,Employee160,HR,Executive,view_salary,Executive,User3734,73141,2011-12-10
User161,Employee161,Admin,Analyst,authorize_contracts,,User3371,120864,2014-02-10
User162,Employee162,Sales,Clerk,manage_hiring,,User666,98176,2020-10-28
User163,Employee163,Finance,Officer,approve_expense,Executive,,57732,2013-07-27
User164,Employee164,Finance,Assistant,manage_hiring,Analyst,User4210,70921,2000-05-31
User165,Employee165,HR,Analyst,approve_expense,,User3621,87705,2001-11-22
User166,Employee166,Finance,Auditor,authorize_contracts,,User3431,58187,2004-02-14
User167,Employee167,Admin,Assistant,manage_hiring,,User1528,101252,2005-08-10
User168,Employee168,Marketing,Analyst,approve_expense,Analyst,User3863,125504,2010-04-14
User169,Employee169,HR,Analyst,authorize_contracts,Analyst,,101325,2009-10-02
User170,Employee170,IT,Auditor,manage_hiring,,,89368,2011-03-11
User171,Employee171,Admin,Manager,access_database,,,81202,2017-12-24
User172,Employee172,Operations,Clerk,view_salary,,User1062,148784,2012-10-02
User173,Employee173,Admin,Executive,manage_hiring,,User1226,63467,2007-01-22
User174,Employee174,Admin,Executive,access_database,Manager,User3855,85782,2000-01-18
User175,Employee175,Admin,Assistant,manage_hiring,Director,,128316,2015-01-19
User176,Employee176,IT,Officer,view_salary,,,47082,2011-02-17
User177,Employee177,Operations,Assistant,view_salary,,User520,79724,2021-06-16
User178,Employee178,Operations,Executive,authorize_contracts,,User2213,74762,2004-07-11
User179,Employee179,IT,Auditor,access_database,,,99363,2009-10-24
User180,Employee180,Operations,Assistant,view_salary,,User4270,107387,2014-05-24
User181,Employee181,Sales,Executive,access_database,Auditor,User2471,89715,2019-11-30
User182,Employee182,IT,Director,manage_hiring,,User1254,121331,2002-09-23
User183,Employee183,Finance,Auditor,manage_hiring,Assistant,User3024,62940,2010-01-08
User184,Employee184,Legal,Auditor,approve_expense,Analyst,,55601,2001-11-21
User185,Employee185,Sales,Clerk,access_database,Auditor,User4668,116574,2010-05-29
User186,Employee186,HR,Manager,view_salary,,User3736,63925,2003-08-17
User187,Employee187,HR,Officer,authorize_contracts,,User1895,114148,2002-06-13
User188,Employee188,HR,Assistant,view_salary,Auditor,User2193,60306,2003-07-08
User189,Employee189,Operations,Clerk,access_database,,User448,108270,2020-08-13
User190,Employee190,IT,Director,approve_expense,,User2026,118077,2010-11-11
User191,Employee191,HR,Assistant,view_salary,Assistant,User2318,80901,2012-10-07
User192,Employee192,IT,Auditor,access_database,,User64,144850,2017-07-30
User193,Employee193,Legal,Officer,manage_hiring,,,39376,2013-11-09
User194,Employee194,Operations,Analyst,access_database,,User164,40917,2008-01-05
User195,Employee195,Marketing,Executive,access_database,,User4819,41338,2014-05-20
User196,Employee196,IT,Executive,approve_expense,,User4264,94449,2010-12-12
User197,Employee197,HR,Manager,authorize_contracts,Assistant,User4603,105450,2003-05-23
User198,Employee198,Sales,Director,approve_expense,,User4838,124052,2004-07-08
User199,Employee199,Marketing,Clerk,manage_hiring,,,34892,2009-03-27
User200,Employee200,Legal,Officer,view_salary,Auditor,User4924,54625,2009-05-31
User201,Employee201,Legal,Auditor,approve_expense,,User3191,142533,2000-05-31
User202,Employee202,Admin,Executive,manage_hiring,,,136920,2007-02-20
User203,Employee203,Admin,Director,approve_expense,,User3990,36663,2013-11-22
User204,Employee204,Finance,Manager,manage_hiring,,User3141,123343,2005-08-09
User205,Employee205,Admin,Auditor,manage_hiring,Director,,135462,2001-04-11
User206,Employee206,Admin,Officer,approve_expense,,User2859,72762,2003-11-06
User207,Employee207,Admin,Clerk,manage_hiring,,User281,131846,2000-12-15
User208,Employee208,IT,Auditor,access_database,,User2625,115160,2017-03-31
User209,Employee209,Finance,Manager,view_salary,,User2596,94132,2013-08-11
User210,Employee210,Sales,Analyst,view_salary,,User979,49870,2019-07-10
User211,Employee211,Legal,Executive,authorize_contracts,Manager,,121890,2011-10-29
User212,Employee212,Legal,Auditor,authorize_contracts,,User4606,77301,2001-07-11
User213,Employee213,Operations,Assistant,view_salary,,User3486,85819,2015-04-23
User214,Employee214,Legal,Auditor,authorize_contracts,,User2066,53933,2007-08-20
User215,Employee215,Admin,Director,manage_hiring,,User863,142249,2002-01-02
User216,Employee216,IT,Executive,approve_expense,Director,,98519,2004-11-07
User217,Employee217,Legal,Manager,authorize_contracts,,User4474,140800,2009-11-17
User218,Employee218,Finance,Clerk,access_database,,,68851,2010-01-24
User219,Employee219,Legal,Executive,access_database,,User931,149737,2017-11-27
User220,Employee220,HR,Executive,access_database,Director,User2330,84851,2013-09-03
User221,Employee221,Operations,Executive,authorize_contracts,,User3613,131610,2018-08-23
User222,Employee222,Operations,Auditor,access_database,,User1436,78060,2007-01-10
User223,Employee223,Operations,Assistant,authorize_contracts,,User4633,79120,2009-04-03
User224,Employee224,Sales,Manager,access_database,,User4318,100144,2002-10-19
User225,Employee225,Marketing,Director,manage_hiring,,,30580,2019-02-11
User226,Employee226,IT,Auditor,view_salary,Executive,User4126,149968,2006-08-07
User227,Employee227,HR,Manager,approve_expense,,,47713,2001-08-12
User228,Employee228,Admin,Clerk,authorize_contracts,,,72779,2017-11-28
User229,Employee229,HR,Clerk,authorize_contracts,,User1214,103151,2003-12-16
User230,Employee230,Sales,Auditor,access_database,Officer,User4584,56176,2016-12-31
User231,Employee231,IT,Auditor,manage_hiring,Auditor,User3854,44072,2005-12-10
User232,Employee232,Operations,Clerk,view_salary,,User4661,113102,2013-03-14
User233,Employee233,Marketing,Clerk,access_database,,User2915,137309,2012-03-05
User234,Employee234,IT,Officer,manage_hiring,,User2628,51990,2016-10-10
User235,Employee235,Marketing,Assistant,access_database,Officer,User4605,124720,2000-09-25
User236,Employee236,Operations,Auditor,approve_expense,,User2319,101641,2007-04-16
User237,Employee237,Finance,Director,authorize_contracts,,User2438,93327,2000-09-15
User238,Employee238,Finance,Director,access_database,,User300,103595,2017-11-14
User239,Employee239,HR,Manager,approve_expense,,User3473,105397,2011-03-03
User240,Employee240,Marketing,Assistant,manage_hiring,,User3247,76869,2011-02-25
User241,Employee241,Marketing,Executive,manage_hiring,,,132556,2017-05-09
User242,Employee242,Operations,Director,authorize_contracts,,,93403,2006-04-01
User243,Employee243,Operations,Officer,view_salary,,User4972,58772,2015-02-03
User244,Employee244,HR,Officer,access_database,,,70381,2001-12-23
User245,Employee245,HR,Analyst,authorize_contracts,,User66,88963,2016-12-21
User246,Employee246,Operations,Analyst,access_database,,User2612,128857,2013-01-01
User247,Employee247,HR,Clerk,manage_hiring,,User3127,124870,2019-06-25
User248,Employee248,Legal,Manager,approve_expense,,User2119,104479,2004-04-13
User249,Employee249,Legal,Clerk,approve_expense,,,69076,2011-06-06
User250,Employee250,Admin,Auditor,manage_hiring,,User1922,44314,2002-03-31
User251,Employee251,IT,Director,access_database,,User4245,131410,2008-01-31
User252,Employee252,Operations,Clerk,manage_hiring,,User1379,105467,2000-08-08
User253,Employee253,Admin,Manager,view_salary,,User1746,67029,2006-09-21
User254,Employee254,Operations,Officer,approve_expense,,User3887,118316,2005-03-10
User255,Employee255,HR,Analyst,approve_expense,,,52246,2020-08-26
User256,Employee256,Sales,Director,authorize_contracts,,User2558,84098,2005-03-16
User257,Employee257,Admin,Executive,manage_hiring,,User3880,125571,2004-02-14
User258,Employee258,Marketing,Director,approve_expense,,User1554,40195,2001-02-15
User259,Employee259,Finance,Auditor,access_database,,,127482,2013-04-11
User260,Employee260,Finance,Executive,view_salary,Clerk,User4979,71797,2005-12-05
User261,Employee261,IT,Executive,manage_hiring,,,36304,2008-01-20
User262,Employee262,Finance,Executive,approve_expense,,User2024,141709,2010-07-14
User263,Employee263,Admin,Auditor,manage_hiring,,,133804,2020-10-14
User264,Employee264,Admin,Clerk,view_salary,,User676,83594,2015-01-03
User265,Employee265,Legal,Officer,manage_hiring,Assistant,User1718,43771,2003-06-29
User266,Employee266,Sales,Manager,access_database,,User722,149256,2015-06-22
User267,Employee267,Admin,Officer,authorize_contracts,,,36324,2020-12-24
User268,Employee268,Marketing,Auditor,view_salary,,User4479,63375,2016-09-12
User269,Employee269,Legal,Clerk,view_salary,,User4827,140606,2012-01-05
User270,Employee270,IT,Executive,view_salary,,User4702,63694,2012-04-09
User271,Employee271,Finance,Assistant,view_salary,,User3129,87837,2021-11-22
User272,Employee272,Finance,Director,manage_hiring,,User2692,145236,2015-12-29
User273,Employee273,HR,Auditor,approve_expense,,User324,146902,2006-03-07
User274,Employee274,Sales,Assistant,authorize_contracts,Auditor,User2573,41788,2021-09-29
User275,Employee275,Admin,Director,approve_expense,,User3845,65883,2011-10-03
User276,Employee276,Sales,Analyst,access_database,,User1988,137838,2017-05-17
User277,Employee277,Finance,Assistant,manage_hiring,,,49686,2021-07-26
User278,Employee278,IT,Manager,access_database,Clerk,,101328,2006-11-18
User279,Employee279,IT,Manager,view_salary,,User2942,136888,2001-10-26
User280,Employee280,Operations,Director,manage_hiring,,,140879,2006-05-26
User281,Employee281,Operations,Clerk,approve_expense,,User4490,117604,2011-06-14
User282,Employee282,Operations,Assistant,approve_expense,Manager,User2676,125399,2015-09-24
User283,Employee283,Legal,Clerk,access_database,,User4753,81862,2000-04-03
User284,Employee284,Finance,Officer,authorize_contracts,,User3021,90033,2011-02-17
User285,Employee285,Operations,Director,authorize_contracts,Analyst,User2168,60927,2018-12-01
User286,Employee286,Operations,Analyst,approve_expense,,User4575,56119,2008-01-28
User287,Employee287,HR,Officer,access_database,Executive,User3500,77767,2000-12-31
User288,Employee288,Sales,Analyst,manage_hiring,,,108889,2018-11-30
User289,Employee289,Admin,Officer,access_database,Director,User543,93549,2005-11-23
User290,Employee290,IT,Assistant,access_database,,,82070,2020-06-13
User291,Employee291,Operations,Auditor,view_salary,,User3713,46857,2002-06-24
User292,Employee292,Marketing,Auditor,manage_hiring,,User3742,122917,2001-06-08
User293,Employee293,Marketing,Analyst,view_salary,Manager,User4067,114200,2011-05-11
User294,Employee294,Admin,Clerk,access_database,,,136032,2002-07-01
User295,Employee295,Admin,Clerk,access_database,Manager,User1448,78274,2014-12-20
User296,Employee296,Marketing,Assistant,approve_expense,Auditor,User1786,51480,2011-06-01
User297,Employee297,HR,Auditor,authorize_contracts,,User4810,88891,2001-11-22
User298,Employee298,Operations,Assistant,authorize_contracts,,User4451,146549,2001-03-20
User299,Employee299,Sales,Assistant,view_salary,Director,User4195,74401,2011-05-05
User300,Employee300,Finance,Auditor,manage_hiring,Director,User4939,114344,2018-09-28
User301,Employee301,Marketing,Executive,manage_hiring,,,122815,2005-11-17
User302,Employee302,Legal,Analyst,view_salary,,User2063,37569,2020-02-19
User303,Employee303,Sales,Clerk,view_salary,,,70971,2014-01-10
User304,Employee304,Finance,Manager,view_salary,,User2755,78388,2001-08-20
User305,Employee305,Operations,Executive,manage_hiring,,User1491,81757,2019-11-14
User306,Employee306,Marketing,Auditor,approve_expense,,,84568,2008-10-16
User307,Employee307,Operations,Executive,view_salary,,User4509,103651,2016-02-28
User308,Employee308,Legal,Clerk,manage_hiring,,,36038,2013-08-27
User309,Employee309,Admin,Manager,manage_hiring,,,57616,2016-08-05
User310,Employee310,Legal,Analyst,view_salary,Officer,User353,99947,2009-11-30
User311,Employee311,Operations,Auditor,manage_hiring,,User4381,112041,2005-08-10
User312,Employee312,Finance,Analyst,approve_expense,Manager,,111700,2000-04-25
User313,Employee313,HR,Clerk,access_database,,User3163,43306,2017-10-09
User314,Employee314,HR,Assistant,approve_expense,,User2059,89419,2020-06-23
User315,Employee315,Marketing,Analyst,access_database,,,70260,2019-06-18
User316,Employee316,Marketing,Assistant,authorize_contracts,,User1957,79774,2006-12-24
User317,Employee317,Sales,Clerk,access_database,,User4591,61290,2021-08-07
User318,Employee318,HR,Assistant,view_salary,,,148903,2004-09-20
User319,Employee319,Finance,Clerk,approve_expense,,,130309,2018-08-04
User320,Employee320,HR,Officer,approve_expense,,,44703,2010-06-19
User321,Employee321,IT,Director,authorize_contracts,,User2341,56840,2013-08-14
User322,Employee322,Finance,Manager,access_database,,User1434,143232,2007-10-03
User323,Employee323,Operations,Clerk,view_salary,,User3470,73149,2016-09-08
User324,Employee324,Operations,Manager,view_salary,,User1833,134633,2006-12-27
User325,Employee325,Finance,Analyst,view_salary,,User4948,116085,2011-12-11
User326,Employee326,HR,Assistant,authorize_contracts,Assistant,,140830,2006-02-26
User327,Employee327,Finance,Officer,authorize_contracts,,User154,145818,2018-11-12
User328,Employee328,Marketing,Analyst,authorize_contracts,Assistant,User4468,63225,2021-11-22
User329,Employee329,Marketing,Manager,access_database,Auditor,,82041,2012-04-30
User330,Employee330,Marketing,Auditor,authorize_contracts,,,33491,2017-03-27
User331,Employee331,Admin,Manager,authorize_contracts,,User1181,129073,2019-09-23
User332,Employee332,Legal,Auditor,manage_hiring,,User497,96180,2001-08-28
User333,Employee333,Sales,Director,view_salary,,,127675,2004-12-08
User334,Employee334,Admin,Officer,view_salary,,User2976,50060,2017-03-26
User335,Employee335,HR,Officer,approve_expense,,User3533,94562,2011-06-13
User336,Employee336,Sales,Officer,authorize_contracts,,,90909,2006-10-22
User337,Employee337,IT,Director,approve_expense,Assistant,User4830,39571,2011-07-06
User338,Employee338,Legal,Executive,approve_expense,,User1595,110310,2016-07-02
User339,Employee339,Finance,Clerk,approve_expense,,,78845,2010-08-27
User340,Employee340,Admin,Officer,authorize_contracts,,User657,63944,2021-10-02
User341,Employee341,Legal,Analyst,authorize_contracts,Assistant,,74272,2009-04-14
User342,Employee342,HR,Manager,view_salary,,User4479,145319,2017-04-03
User343,Employee343,Sales,Auditor,view_salary,,User2705,136021,2004-09-25
User344,Employee344,Legal,Officer,access_database,Director,User1963,143091,2014-09-05
User345,Employee345,HR,Manager,authorize_contracts,Clerk,,92455,2005-09-24
User346,Employee346,HR,Officer,manage_hiring,,User3011,147223,2020-08-28
User347,Employee347,Admin,Executive,authorize_contracts,,User1683,117048,2006-02-22
User348,Employee348,Marketing,Clerk,access_database,,User434,107539,2001-06-09
User349,Employee349,Sales,Assistant,view_salary,,User4463,89302,2018-10-12
User350,Employee350,Operations,Assistant,view_salary,,User4228,35760,2007-04-25
User351,Employee351,Legal,Assistant,view_salary,,User4183,95547,2001-08-31
User352,Employee352,Finance,Assistant,view_salary,Manager,,119324,2015-07-24
User353,Employee353,IT,Clerk,approve_expense,,User1694,120479,2006-02-22
User354,Employee354,Legal,Analyst,view_salary,,,137849,2006-02-25
User355,Employee355,Finance,Director,view_salary,,,135901,2001-03-08
User356,Employee356,Finance,Auditor,authorize_contracts,,User3414,39039,2021-07-19
User357,Employee357,Marketing,Analyst,access_database,Assistant,User1434,133875,2002-03-11
User358,Employee358,IT,Assistant,authorize_contracts,,User2485,141445,2020-01-01
User359,Employee359,Sales,Director,view_salary,,User2346,116943,2011-07-02
User360,Employee360,Sales,Assistant,view_salary,Clerk,User893,82295,2019-05-23
User361,Employee361,IT,Clerk,access_database,,,123911,2020-12-19
User362,Employee362,Finance,Executive,access_database,Executive,User2522,32841,2019-05-29
User363,Employee363,Operations,Director,view_salary,,User3061,86719,2019-11-29
User364,Employee364,Sales,Assistant,approve_expense,Auditor,User4532,52315,2015-05-01
User365,Employee365,Marketing,Manager,authorize_contracts,,User1927,34762,2002-08-04
User366,Employee366,Marketing,Manager,view_salary,,User621,123564,2014-11-26
User367,Employee367,Sales,Executive,approve_expense,,User1219,58464,2001-04-05
User368,Employee368,Finance,Officer,approve_expense,,User3887,37245,2000-10-05
User369,Employee369,IT,Assistant,approve_expense,,,58244,2011-01-05
User370,Employee370,Legal,Manager,approve_expense,,,145032,2000-06-03
User371,Employee371,Legal,Analyst,view_salary,,User1464,145476,2008-12-15
User372,Employee372,HR,Auditor,manage_hiring,,User2306,45348,2017-08-27
User373,Employee373,IT,Analyst,manage_hiring,,,134450,2005-02-05
User374,Employee374,Marketing,Officer,authorize_contracts,,User2382,90681,2004-07-10
User375,Employee375,Sales,Analyst,authorize_contracts,,,60470,2015-10-18
